file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/MethodExpectations.java,com.github.mauricioaniche.codesheriff.dsl.MethodExpectations,class,6,7,1,6,5,1,0,1,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,22,4,0,0,0,0,0,0,1,0,1,0,0,0,0,21,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/clazz/ClassNameStartsWith.java,com.github.mauricioaniche.codesheriff.filters.clazz.ClassNameStartsWith,class,3,4,1,3,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,10,1,0,0,0,0,0,1,2,0,2,0,0,0,0,14,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/method/MethodNameStartsWith.java,com.github.mauricioaniche.codesheriff.filters.method.MethodNameStartsWith,class,3,4,1,3,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,14,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/method/MethodFilter.java,com.github.mauricioaniche.codesheriff.filters.method.MethodFilter,interface,2,6,4,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/method/MethodLOC.java,com.github.mauricioaniche.codesheriff.expectations.method.MethodLOC,class,4,5,1,4,3,2,0,1,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,22,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/DefaultClassExpectation.java,com.github.mauricioaniche.codesheriff.expectations.clazz.DefaultClassExpectation,class,5,11,6,5,5,1,5,6,4,0.5,0.0,0.0,4,0,2,0,2,0,4,2,0,0,1,0,0,1,0,0,1,0,1,15,0,0,0,0,0,0,0,3,0,3,1,0,0,0,18,1025,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/runner/SheriffReport.java,com.github.mauricioaniche.codesheriff.runner.SheriffReport,class,0,8,8,0,4,1,0,5,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,1,15,3,0,0,0,0,2,0,1,1,3,0,0,0,1,16,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/clazz/ClassFilter.java,com.github.mauricioaniche.codesheriff.filters.clazz.ClassFilter,interface,1,5,4,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/ClassExpectations.java,com.github.mauricioaniche.codesheriff.dsl.ClassExpectations,class,7,8,1,7,6,1,0,1,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,26,5,0,0,0,0,0,0,1,0,1,0,0,0,0,22,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/ClassLOC.java,com.github.mauricioaniche.codesheriff.expectations.clazz.ClassLOC,class,3,4,1,3,3,2,0,1,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,20,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/clazz/ClassInPackage.java,com.github.mauricioaniche.codesheriff.filters.clazz.ClassInPackage,class,3,4,1,3,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,10,1,0,0,0,0,0,1,2,0,2,0,0,0,0,13,1,0
